id,autor,obra,ano_publicacao,fenomeno_linguistico,texto_original,texto_simplificado,nivel_confianca_equivalencia,notas
azevedo_001,Aluísio Azevedo,O Cortiço,1890,Sugestão e Conotação,"O Miranda, que era homem de sangue esperto e orçava então pelos seus trinta e cinco anos, sentiu-se em insuportável estado de lubricidade.","O personagem Miranda, que era muito ganancioso e calculista e tinha aproximadamente trinta e cinco anos de idade, sentiu um desejo sexual muito forte que não conseguia controlar.",média,"O verbo de conotação comercial ""orçava"" foi explicitado no plano semântico sugerido pela fonte (""ganancioso e calculista""). O termo erudito ""lubricidade"" foi traduzido denotativamente como ""desejo sexual forte""."
assis_002,Machado de Assis,Quincas Borba,1891,Zeugma,"Rubião tinha nos pés um par de chinelas de damasco, bordadas a ouro; na cabeça, um gorro com borla de seda preta. Na boca, um riso azul claro.",O personagem Rubião usava nos seus pés chinelos feitos de tecido de damasco com bordados de ouro. Ele usava na sua cabeça um chapéu redondo com um enfeite de fios de seda preta. Ele mostrava nos seus lábios uma expressão de sorriso muito suave e tranquilo.,média,"O zeugma do verbo ""tinha"" (omitido nas orações subsequentes) foi resolvido repetindo o verbo adaptado (""usava"" / ""mostrava""). A expressão sinestésica de conotação complexa ""riso azul claro"" foi traduzida de forma denotativa aproximada como ""sorriso muito suave e tranquilo""."
camoes_001,Luís de Camões,Rimas,1598,Paradoxo,"Amor é fogo que arde sem se ver; / É ferida que dói e não se sente; / É um contentamento descontente; / É dor que desatina sem doer; / É um não querer mais que bem querer; / É solitário andar por entre a gente; / É nunca contentar-se de contente; / É cuidar que se ganha em se perder; / É querer estar preso por vontade; / É servir a quem vence, o vencedor; / É ter com quem nos mata lealdade. / Mas como causar pode seu favor / Nos corações humanos amizade, / Se tão contrário a si é o mesmo Amor?","O amor causa um ardor interno que não se pode ver de fora. É como um machucado que dói, mas que a pessoa não sente como dor física. É uma satisfação que ao mesmo tempo deixa insatisfeito. É um sofrimento que desnorteia mesmo sem doer de verdade. É não desejar nada além de amar bem a outra pessoa. É sentir-se sozinho mesmo cercado de gente. É nunca ficar satisfeito, mesmo já estando satisfeito. É achar que se ganha justamente quando se perde. É desejar ficar preso a alguém por vontade própria. É a pessoa vencida pelo amor continuar servindo a quem a venceu. É permanecer leal a quem nos faz sofrer tanto. Mas como pode o amor gerar afeto e harmonia entre as pessoas, se ele mesmo é tão contraditório e inconsistente?",média,"Candidato expandido do primeiro quarteto (cadastro original) para o soneto completo (14 versos), para eliminar a dependência de contexto externo ao recorte: o quarteto isolado descreve o amor por uma sucessão de definições paradoxais sem resolução, enquanto o soneto completo é autocontido -- os tercetos finais fecham o raciocínio (""Mas como causar pode seu favor... Se tão contrário a si é o mesmo Amor?""), dando à unidade textual um início, desenvolvimento e fechamento que não dependem de nada fora do próprio poema. Texto_simplificado e nivel_confianca_equivalencia zerados: precisam de nova tradução intralingual sobre o soneto completo, já que a anterior (quando existente) cobria apenas o quarteto. TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: cada definição paradoxal do amor foi desdobrada em sua leitura psicológica direta, sem preservar a formulação contraditória de superfície. RESSALVA (confiança média): o verso ""É servir a quem vence, o vencedor"" foi interpretado como ""a pessoa vencida pelo amor continua servindo a quem a venceu"" -- leitura mais aceita, mas envolve escolha interpretativa sobre quem é o sujeito gramatical implícito."
matos_001,Gregório de Matos,Anjo no Nome,1923,Paradoxo,"Sois Anjo, que me tenta, e não me guarda.","Você é um anjo que me tenta, mas não me protege.",alta,"Confirmado exatamente (inclusive pontuação) via Wikisource: https://pt.wikisource.org/wiki/Anjo_no_Nome (verso final do soneto). Título divergente do informado pela fonte secundária (""A MESMA D. ÂNGELA""/""À mesma Dona Ângela""): mesmo poema, catalogado no Wikisource como ""Anjo no Nome"" (poemas de Matos circularam sem título fixo em manuscritos avulsos póstumos). Data mantida como ""séc. XVII"": não foi encontrado ano de composição mais preciso (obra não publicada em vida; ver Francisco Topa, ""O Mapa do Labirinto"", 2001, sobre problemas de datação/autoria). DATAÇÃO: mesmo protocolo de matos_003/004/005/006 (e anjos_005): data de composição é o século XVII (não determinada com precisão; obra não publicada em vida), mas ano_publicacao registrado reflete a primeira publicação em livro verificável. Classificado tematicamente como poesia lírica amorosa (não sacra, satírica ou cômica), o que o situa no volume II (""Lírica"", 1923) da edição de Afrânio Peixoto para a Academia Brasileira de Letras (6 volumes, 1923-1933: I Sacra/1929, II Lírica/1923, III Graciosa/1930, IV-V Satírica/1930, VI Última/1933). RESSALVA: classificação de gênero apoiada em fontes secundárias (não em acesso direto ao sumário do volume); mesma limitação já registrada em matos_003/004/005/006. TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: verso único, transformação mínima (modernização de ""sois""/""guarda"" para ""você é""/""protege""), sem ambiguidade relevante. Confiança alta."
assis_003,Machado de Assis,O Alienista,1882,Ironia estrutural / Inversão conceitual,"A loucura, objeto dos meus estudos, era até agora uma ilha perdida no oceano da razão; começo a suspeitar que é um continente.","A loucura, que é o assunto que estudo, parecia até agora ser um caso raro e isolado dentro de um mundo dominado pela razão; estou começando a desconfiar que, na verdade, ela é algo muito mais comum e generalizado do que a própria razão.",média,"Confirmado exatamente via Wikisource, capítulo IV (""Uma Teoria Nova""): https://pt.wikisource.org/wiki/O_Alienista/IV. Ano mantido em 1882 (edição em livro, Lombaerts & C.; a novela circulou antes em folhetim na revista A Estação a partir de 1881). CLASSIFICAÇÃO REVISADA: a fonte secundária propunha ""Paradoxo"", mas a frase não é paradoxo lógico (sem contradição self-referencial nem afirmação simultânea de valores incompatíveis) — é antes inversão conceitual/ironia estrutural: a metáfora espacial (ilha->continente) inverte a relação figura/fundo entre razão e loucura, ironizando a pretensão de objetividade científica do narrador-personagem. Classificação sujeita a revisão da anotadora. TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: a metáfora espacial (ilha->continente) foi convertida para sua leitura literal (exceção rara -> condição dominante). Confiança média: o grau exato de ""quão mais comum"" a loucura seria, em relação à razão, envolve uma escolha interpretativa não determinada pelo texto."
camoes_002,Luís de Camões,Aquela triste e leda madrugada,1595,Hipérbato,Aquela triste e leda madrugada,"Aquele amanhecer que foi, ao mesmo tempo, triste e alegre.",alta,"Confirmado quanto ao conteúdo via Wikisource: https://pt.wikisource.org/wiki/Aquella_triste_e_leda_madrugada, que preserva grafia arcaica da edição de 1843 (""Aquella triste e leda madrugada""); ortografia modernizada aqui conforme já praticado no dataset. Soneto agrupado postumamente nas Rimas (1595/1598); não encontrada confirmação de qual das duas edições incluiu especificamente este soneto, por isso mantido ""séc. XVI"" em vez de ano exato. DATAÇÃO RESOLVIDA: confirmado como soneto nº 091 da edição de 1595 (editio princeps das Rimas, organizada por Estêvão Lopes e Fernão Rodrigues Lobo Soropita, Lisboa), conforme numeração da edição crítica de Álvaro Júlio da Costa Pimpão (Biblioteca Virtual do Estudante Brasileiro/USP, texto-base também usado por curso-objetivo.br) -- essa fonte tagueia cada soneto com o ano de sua primeira publicação (1595 ou 1598), distinguindo os já presentes na 1ª edição (1595, 65 sonetos) dos acrescentados só na 2ª edição (1598, 105 sonetos; mesma distinção usada em camoes_001, cujo soneto é um dos acrescentados em 1598). ano_publicacao atualizado de 'séc. XVI' para 1595. TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: fragmento nominal curto, hipérbato resolvido por reordenação direta adjetivo/substantivo e modernização de ""leda"" para ""alegre"". Confiança alta, sem ambiguidade relevante."
camoes_003,Luís de Camões,"Alma minha gentil, que te partiste",1595,Antítese,"Repousa lá no Céu eternamente, / E viva eu cá na terra sempre triste.","Que você descanse para sempre no Céu, enquanto eu continuo vivo aqui na Terra, sempre triste.",alta,"Confirmado quanto ao conteúdo via Wikisource: https://pt.wikisource.org/wiki/Alma_minha_gentil,_que_te_partiste, que preserva grafia arcaica da edição de 1843 (""Repousa lá no Ceo eternamente, / E viva eu cá na terra sempre triste.""); ortografia modernizada aqui conforme já praticado no dataset. Mesma ressalva de datação do soneto ""Aquela triste e leda madrugada"" (Rimas póstumas, 1595/1598, sem confirmação de edição específica): mantido ""séc. XVI"". DATAÇÃO RESOLVIDA: confirmado como soneto nº 080 da edição de 1595 (editio princeps das Rimas), também citado como ""Soneto XIII"" em outra fonte (Wikipédia) -- em ambos os casos, dentro do conjunto de sonetos já presentes na 1ª edição (1595, 65 sonetos), não entre os acrescentados na 2ª edição (1598, 105 sonetos). Mesma fonte de numeração (edição crítica de Álvaro Júlio da Costa Pimpão) usada em camoes_002. ano_publicacao atualizado de 'séc. XVI' para 1595. TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: antítese direta (repouso eterno no Céu vs. vida sofrida na Terra) traduzida sem perda de conteúdo. Confiança alta, sem ambiguidade relevante."
matos_002,Gregório de Matos,Buscando a Cristo,1929,Antítese,"Que, para receber-me, estais abertos, / E, por não castigar-me, estais cravados.","Seus braços estão abertos para me acolher, e, por estarem presos na cruz, não podem me castigar.",média,"Confirmado exatamente (inclusive pontuação) via Wikisource: https://pt.wikisource.org/wiki/Buscando_a_Cristo. Título divergente do informado pela fonte secundária (que referenciava o poema pelo primeiro verso, ""A vós correndo vou, braços sagrados""): mesmo poema, catalogado no Wikisource como ""Buscando a Cristo"". Data mantida como ""séc. XVII"" — não encontrada data de composição mais precisa (mesma ressalva de matos_001). DATAÇÃO: mesmo protocolo de matos_001/003/004/005/006 (e anjos_005): data de composição é o século XVII (não determinada com precisão; obra não publicada em vida), mas ano_publicacao registrado reflete a primeira publicação em livro verificável. Este soneto é explicitamente religioso/devocional (invocação a Cristo crucificado), o que o situa no volume I (""Sacra"", 1929) da edição de Afrânio Peixoto para a Academia Brasileira de Letras (6 volumes, 1923-1933: I Sacra/1929, II Lírica/1923, III Graciosa/1930, IV-V Satírica/1930, VI Última/1933) -- diferente do volume usado para os outros sonetos de Matos neste dataset (Lírica, 1923). RESSALVA: classificação de gênero apoiada em fontes secundárias (não em acesso direto ao sumário do volume). TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: antítese ""abertos""/""cravados"" resolvida como acolhimento vs. impedimento físico de castigar. Confiança média: o vínculo causal entre ""estar cravado"" e ""não poder castigar"" é interpretativo, apoiado no contexto religioso do soneto (braços de Cristo na cruz), mas não explicitado no fragmento isolado."
matos_003,Gregório de Matos,Moraliza o poeta nos Ocidentes do Sol a inconstância dos bens do mundo,1923,Zeugma,"Nasce o Sol, e não dura mais que um dia, / Depois da Luz se segue a noite escura, / Em tristes sombras morre a formosura, / Em contínuas tristezas a alegria. / Porém, se acaba o Sol, por que nascia? / Se é tão formosa a Luz, por que não dura? / Como a beleza assim se transfigura? / Como o gosto da pena assim se fia? / Mas no Sol, e na Luz falte a firmeza, / Na formosura não se dê constância, / E na alegria sinta-se tristeza. / Começa o mundo enfim pela ignorância, / E tem qualquer dos bens por natureza / A firmeza somente na inconstância.","O Sol nasce, mas não dura mais que um dia; depois da luz vem a noite escura; a beleza acaba em sombras tristes; a alegria se transforma em tristeza constante. Mas, se o Sol vai acabar, por que ele nasceu? Se a luz é tão bonita, por que ela não dura? Como a beleza muda assim tão rápido? Como o prazer se transforma em sofrimento dessa forma? Mesmo que o Sol e a luz não sejam permanentes, mesmo que a beleza não seja constante, e mesmo que a alegria se transforme em tristeza, o mundo, no fundo, é regido pela falta de conhecimento -- e a única coisa constante em qualquer coisa boa deste mundo é que ela nunca é constante.",média,"Fonte: edição digital de Poemas escolhidos de Gregório de Matos (org. José Miguel Wisnik, via archive.org), cruzada com pt.wikisource.org/wiki/Nasce_o_Sol -- texto conferido e bate exatamente (inclusive pontuação) com a fonte primária, tanto no quarteto inicial (cadastro original) quanto no soneto completo agora usado. Século XVII, data exata de composição não determinada (Gregório de Matos não publicou em vida; poemas circularam por copistas). CANDIDATO EXPANDIDO do primeiro quarteto (cadastro original) para o soneto completo (14 versos), pelo mesmo motivo de camoes_001: o quarteto isolado corta a pergunta retórica e a resolução final (tercetos) necessárias para o argumento filosófico se completar. texto_simplificado e nivel_confianca_equivalencia zerados: precisam de nova tradução intralingual sobre o soneto completo. Fenômeno ilustrado: elipse do verbo ""morre"" no último verso do quarteto (""Em contínuas tristezas [morre] a alegria""). DATAÇÃO: composição do soneto é do século XVII (poeta não publicou em vida; circulou por copistas por mais de dois séculos). Primeira publicação impressa verificável adotada como ano_publicacao=1923, referente ao volume II (""Lírica"") da edição organizada por Afrânio Peixoto para a Academia Brasileira de Letras (6 volumes, 1923-1933, organizados por gênero: I Sacra/1929, II Lírica/1923, III Graciosa/1930, IV-V Satírica/1930, VI Última/1933) -- este soneto é classificado hoje como poesia lírica/filosófica (não sacra, satírica ou cômica), o que o situa no vol. II. RESSALVA: não foi possível confirmar diretamente o sumário do vol. II para verificar a presença deste soneto especificamente (fonte acadêmica de referência, a edição crítica de Francisco Topa, ficou inacessível por falha de conexão). Confirmado, por busca de texto completo, que o soneto NÃO está no volume de sátiras da edição de 1882 (Typographia Nacional) nem, por extensão de gênero, no Parnaso Brasileiro de 1831 (que trazia apenas ""meia dúzia de sátiras"" de Matos). Mesmo protocolo de transparência já usado em anjos_005 (data de composição incerta vs. primeira publicação em livro verificável). TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica (mesma tradução usada nas quatro entradas que compartilham este texto_original -- matos_003, matos_004, matos_005, matos_006 -- já que a simplificação do soneto completo não muda conforme o fenômeno destacado em cada entrada). Confiança média: o verso ""Começa o mundo enfim pela ignorância"" é a linha mais ambígua do soneto; interpretado aqui como ""o mundo, no fundo, é regido pela falta de conhecimento"", entre outras leituras possíveis."
matos_004,Gregório de Matos,Moraliza o poeta nos Ocidentes do Sol a inconstância dos bens do mundo,1923,Hipérbato,"Nasce o Sol, e não dura mais que um dia, / Depois da Luz se segue a noite escura, / Em tristes sombras morre a formosura, / Em contínuas tristezas a alegria. / Porém, se acaba o Sol, por que nascia? / Se é tão formosa a Luz, por que não dura? / Como a beleza assim se transfigura? / Como o gosto da pena assim se fia? / Mas no Sol, e na Luz falte a firmeza, / Na formosura não se dê constância, / E na alegria sinta-se tristeza. / Começa o mundo enfim pela ignorância, / E tem qualquer dos bens por natureza / A firmeza somente na inconstância.","O Sol nasce, mas não dura mais que um dia; depois da luz vem a noite escura; a beleza acaba em sombras tristes; a alegria se transforma em tristeza constante. Mas, se o Sol vai acabar, por que ele nasceu? Se a luz é tão bonita, por que ela não dura? Como a beleza muda assim tão rápido? Como o prazer se transforma em sofrimento dessa forma? Mesmo que o Sol e a luz não sejam permanentes, mesmo que a beleza não seja constante, e mesmo que a alegria se transforme em tristeza, o mundo, no fundo, é regido pela falta de conhecimento -- e a única coisa constante em qualquer coisa boa deste mundo é que ela nunca é constante.",média,"Fonte: edição digital de Poemas escolhidos de Gregório de Matos (org. José Miguel Wisnik, via archive.org), cruzada com pt.wikisource.org/wiki/Nasce_o_Sol -- texto conferido e bate exatamente (inclusive pontuação) com a fonte primária, tanto no quarteto inicial (cadastro original) quanto no soneto completo agora usado. Século XVII, data exata de composição não determinada (Gregório de Matos não publicou em vida; poemas circularam por copistas). CANDIDATO EXPANDIDO do primeiro quarteto (cadastro original) para o soneto completo (14 versos), pelo mesmo motivo de camoes_001: o quarteto isolado corta a pergunta retórica e a resolução final (tercetos) necessárias para o argumento filosófico se completar. texto_simplificado e nivel_confianca_equivalencia zerados: precisam de nova tradução intralingual sobre o soneto completo. Fenômeno ilustrado: inversão do adjunto adverbial (""Em tristes sombras"") antes do verbo/sujeito (""morre a formosura""). DATAÇÃO: composição do soneto é do século XVII (poeta não publicou em vida; circulou por copistas por mais de dois séculos). Primeira publicação impressa verificável adotada como ano_publicacao=1923, referente ao volume II (""Lírica"") da edição organizada por Afrânio Peixoto para a Academia Brasileira de Letras (6 volumes, 1923-1933, organizados por gênero: I Sacra/1929, II Lírica/1923, III Graciosa/1930, IV-V Satírica/1930, VI Última/1933) -- este soneto é classificado hoje como poesia lírica/filosófica (não sacra, satírica ou cômica), o que o situa no vol. II. RESSALVA: não foi possível confirmar diretamente o sumário do vol. II para verificar a presença deste soneto especificamente (fonte acadêmica de referência, a edição crítica de Francisco Topa, ficou inacessível por falha de conexão). Confirmado, por busca de texto completo, que o soneto NÃO está no volume de sátiras da edição de 1882 (Typographia Nacional) nem, por extensão de gênero, no Parnaso Brasileiro de 1831 (que trazia apenas ""meia dúzia de sátiras"" de Matos). Mesmo protocolo de transparência já usado em anjos_005 (data de composição incerta vs. primeira publicação em livro verificável). TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica (mesma tradução usada nas quatro entradas que compartilham este texto_original -- matos_003, matos_004, matos_005, matos_006 -- já que a simplificação do soneto completo não muda conforme o fenômeno destacado em cada entrada). Confiança média: o verso ""Começa o mundo enfim pela ignorância"" é a linha mais ambígua do soneto; interpretado aqui como ""o mundo, no fundo, é regido pela falta de conhecimento"", entre outras leituras possíveis."
matos_005,Gregório de Matos,Moraliza o poeta nos Ocidentes do Sol a inconstância dos bens do mundo,1923,Antítese,"Nasce o Sol, e não dura mais que um dia, / Depois da Luz se segue a noite escura, / Em tristes sombras morre a formosura, / Em contínuas tristezas a alegria. / Porém, se acaba o Sol, por que nascia? / Se é tão formosa a Luz, por que não dura? / Como a beleza assim se transfigura? / Como o gosto da pena assim se fia? / Mas no Sol, e na Luz falte a firmeza, / Na formosura não se dê constância, / E na alegria sinta-se tristeza. / Começa o mundo enfim pela ignorância, / E tem qualquer dos bens por natureza / A firmeza somente na inconstância.","O Sol nasce, mas não dura mais que um dia; depois da luz vem a noite escura; a beleza acaba em sombras tristes; a alegria se transforma em tristeza constante. Mas, se o Sol vai acabar, por que ele nasceu? Se a luz é tão bonita, por que ela não dura? Como a beleza muda assim tão rápido? Como o prazer se transforma em sofrimento dessa forma? Mesmo que o Sol e a luz não sejam permanentes, mesmo que a beleza não seja constante, e mesmo que a alegria se transforme em tristeza, o mundo, no fundo, é regido pela falta de conhecimento -- e a única coisa constante em qualquer coisa boa deste mundo é que ela nunca é constante.",média,"Fonte: edição digital de Poemas escolhidos de Gregório de Matos (org. José Miguel Wisnik, via archive.org), cruzada com pt.wikisource.org/wiki/Nasce_o_Sol -- texto conferido e bate exatamente (inclusive pontuação) com a fonte primária, tanto no quarteto inicial (cadastro original) quanto no soneto completo agora usado. Século XVII, data exata de composição não determinada (Gregório de Matos não publicou em vida; poemas circularam por copistas). CANDIDATO EXPANDIDO do primeiro quarteto (cadastro original) para o soneto completo (14 versos), pelo mesmo motivo de camoes_001: o quarteto isolado corta a pergunta retórica e a resolução final (tercetos) necessárias para o argumento filosófico se completar. texto_simplificado e nivel_confianca_equivalencia zerados: precisam de nova tradução intralingual sobre o soneto completo. Fenômeno ilustrado: pares antitéticos Sol/noite, luz/escura, formosura/sombras, alegria/tristezas ao longo do soneto. DATAÇÃO: composição do soneto é do século XVII (poeta não publicou em vida; circulou por copistas por mais de dois séculos). Primeira publicação impressa verificável adotada como ano_publicacao=1923, referente ao volume II (""Lírica"") da edição organizada por Afrânio Peixoto para a Academia Brasileira de Letras (6 volumes, 1923-1933, organizados por gênero: I Sacra/1929, II Lírica/1923, III Graciosa/1930, IV-V Satírica/1930, VI Última/1933) -- este soneto é classificado hoje como poesia lírica/filosófica (não sacra, satírica ou cômica), o que o situa no vol. II. RESSALVA: não foi possível confirmar diretamente o sumário do vol. II para verificar a presença deste soneto especificamente (fonte acadêmica de referência, a edição crítica de Francisco Topa, ficou inacessível por falha de conexão). Confirmado, por busca de texto completo, que o soneto NÃO está no volume de sátiras da edição de 1882 (Typographia Nacional) nem, por extensão de gênero, no Parnaso Brasileiro de 1831 (que trazia apenas ""meia dúzia de sátiras"" de Matos). Mesmo protocolo de transparência já usado em anjos_005 (data de composição incerta vs. primeira publicação em livro verificável). TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica (mesma tradução usada nas quatro entradas que compartilham este texto_original -- matos_003, matos_004, matos_005, matos_006 -- já que a simplificação do soneto completo não muda conforme o fenômeno destacado em cada entrada). Confiança média: o verso ""Começa o mundo enfim pela ignorância"" é a linha mais ambígua do soneto; interpretado aqui como ""o mundo, no fundo, é regido pela falta de conhecimento"", entre outras leituras possíveis."
pessoa_001,Fernando Pessoa (Ricardo Reis),Odes de Ricardo Reis,1946,Hipérbato,"Não a ti, Cristo, odeio ou te não quero.","Eu não odeio você, Cristo, nem deixo de gostar de você.",alta,"Fonte: Arquivo Pessoa (arquivopessoa.net/textos/614). Corrigida capitalização de ""Ti"" para ""ti"" em relação à versão inicialmente registrada, seguindo a edição de 1946 com notas de João Gaspar Simões e Luiz de Montalvor. OBS: fetch direto de arquivopessoa.net falhou (ECONNREFUSED) nesta e em tentativa anterior; confirmação feita indiretamente via busca, cujo snippet indexado da própria URL /textos/614 reproduz o título ""Não a ti, Cristo, odeio ou te não quero."" com ""ti"" minúsculo, distinto de variantes textuais próximas nas URLs /textos/619 (""...odeio ou menosprezo"") e /textos/12 (""Não a ti, mas aos teus, odeio, Cristo.""). Recomenda-se revalidação com acesso direto à fonte quando possível. TRADUÇÃO INTRALINGUAL gerada seguindo o Protocolo de Equivalência Semântica: hipérbato resolvido por reordenação direta (""te não quero"" -> ""não deixo de gostar de você""). Confiança alta, transformação sintática mínima."
